,status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price
30,yes,1,owner,60,25,married,no_rec,partime,60,137.0,2700.0,1900.0,1150,1255
31,no,3,rent,36,23,married,no_rec,partime,53,79.0,0.0,0.0,600,650
32,no,4,rent,60,26,married,no_rec,fixed,54,187.0,0.0,0.0,1500,1520
33,yes,6,other,24,23,single,yes_rec,fixed,35,135.0,0.0,0.0,250,250
34,no,20,owner,48,52,married,yes_rec,fixed,60,170.0,9000.0,0.0,1900,2320
35,no,0,owner,60,24,single,no_rec,others,35,82.0,10000.0,0.0,1600,1680
36,no,12,owner,60,27,married,no_rec,fixed,60,118.0,6000.0,800.0,900,1200
37,no,5,rent,36,27,married,no_rec,fixed,57,120.0,0.0,0.0,560,1163
38,no,20,owner,60,56,married,no_rec,fixed,35,145.0,5000.0,0.0,1600,1763
39,no,1,owner,12,22,married,no_rec,fixed,35,117.0,4000.0,0.0,275,450
40,no,12,owner,60,45,married,no_rec,freelance,35,75.0,4000.0,0.0,1000,1100
41,no,35,rent,60,52,married,no_rec,fixed,83,384.0,3000.0,3000.0,900,1633
42,no,7,other,48,55,married,no_rec,fixed,75,100.0,6000.0,0.0,1200,1700
43,no,4,owner,24,32,married,no_rec,partime,45,158.0,5500.0,0.0,500,1839
44,no,15,owner,24,29,married,no_rec,fixed,45,130.0,4000.0,0.0,400,899
45,no,10,rent,60,33,married,no_rec,freelance,75,300.0,2700.0,0.0,1000,1500
46,yes,2,rent,60,30,married,yes_rec,freelance,54,90.0,2000.0,0.0,1500,1500
47,yes,1,rent,36,25,single,no_rec,fixed,49,135.0,0.0,0.0,600,675
48,no,10,rent,60,26,married,no_rec,fixed,78,175.0,0.0,0.0,1000,1314
49,no,15,owner,60,48,married,no_rec,fixed,45,105.0,3000.0,0.0,250,1092
50,no,5,owner,60,65,married,no_rec,others,45,222.0,12000.0,0.0,600,1264
51,no,19,owner,60,56,married,no_rec,fixed,45,169.0,7000.0,0.0,1400,1714
52,no,18,rent,60,37,married,no_rec,fixed,70,100.0,0.0,0.0,1300,1345
53,no,6,parents,60,26,married,no_rec,fixed,60,108.0,0.0,0.0,1200,1250
54,yes,15,owner,48,53,married,no_rec,freelance,45,200.0,15000.0,3500.0,1650,2000
55,yes,1,rent,48,40,married,no_rec,others,82,69.0,0.0,0.0,1100,1197
56,no,20,owner,36,41,married,no_rec,freelance,90,250.0,13500.0,0.0,1900,2200
57,yes,1,parents,48,25,single,no_rec,partime,35,50.0,0.0,0.0,1000,1041
58,no,18,priv,60,49,married,no_rec,fixed,60,140.0,4000.0,0.0,1050,1097
59,yes,7,owner,60,34,married,no_rec,fixed,45,119.0,4000.0,0.0,2000,2221
60,no,1,rent,60,23,married,no_rec,fixed,54,92.0,0.0,0.0,1000,1300
61,no,3,owner,60,38,married,no_rec,partime,75,90.0,3000.0,0.0,930,1135
62,no,4,parents,24,40,single,no_rec,fixed,35,150.0,5500.0,600.0,500,1672
63,no,4,rent,60,24,married,no_rec,fixed,52,70.0,0.0,0.0,1000,1315
64,no,3,parents,60,23,single,no_rec,freelance,35,42.0,10000.0,0.0,2000,2203
65,yes,2,other,60,22,single,no_rec,fixed,35,58.0,12000.0,0.0,1450,1600
66,no,0,owner,24,20,single,no_rec,partime,45,188.0,2000.0,1500.0,300,315
67,no,2,parents,60,43,married,no_rec,fixed,45,100.0,0.0,0.0,1500,1645
68,no,2,priv,60,24,married,no_rec,fixed,35,170.0,5000.0,1500.0,1150,1200
69,no,2,rent,60,30,married,yes_rec,fixed,52,70.0,0.0,0.0,950,1175
70,yes,3,rent,36,61,married,no_rec,fixed,41,57.0,12000.0,0.0,2500,3559
71,yes,0,owner,60,59,married,no_rec,others,35,131.0,12000.0,0.0,1150,1157
72,no,3,parents,24,24,married,no_rec,fixed,35,120.0,10000.0,0.0,500,650
73,no,17,rent,48,54,married,no_rec,fixed,168,325.0,0.0,0.0,860,1059
74,no,9,owner,24,30,married,no_rec,fixed,35,250.0,30000.0,0.0,1000,1594
75,yes,7,owner,60,38,married,yes_rec,freelance,60,40.0,6000.0,0.0,1500,1610
76,yes,7,priv,48,30,married,no_rec,partime,60,112.0,1500.0,0.0,900,1165
77,yes,0,parents,36,22,married,no_rec,partime,60,137.0,0.0,0.0,700,900
78,yes,2,rent,60,35,married,yes_rec,fixed,52,70.0,0.0,0.0,1000,1000
79,no,8,owner,24,25,married,no_rec,fixed,35,160.0,3000.0,0.0,800,1092
80,no,12,owner,36,42,married,no_rec,freelance,60,0.0,15000.0,0.0,1000,1500
81,no,3,rent,60,41,married,no_rec,others,51,60.0,0.0,0.0,750,818
82,no,28,owner,36,49,married,no_rec,fixed,45,90.0,27000.0,0.0,600,1690
83,yes,8,rent,48,30,single,no_rec,fixed,46,114.0,0.0,0.0,1650,1659
84,no,10,other,18,48,married,no_rec,fixed,90,214.0,0.0,0.0,1000,1608
85,yes,4,owner,60,42,married,no_rec,fixed,75,135.0,4000.0,0.0,978,978
86,no,16,parents,60,34,single,no_rec,freelance,35,0.0,12000.0,0.0,1200,1336
87,yes,4,rent,60,53,widow,no_rec,others,37,22.0,20000.0,0.0,1300,1498
88,no,5,ignore,48,51,divorced,no_rec,fixed,35,95.0,6000.0,0.0,500,645
89,no,13,priv,60,40,married,no_rec,fixed,60,100.0,3500.0,540.0,970,1270
90,no,1,rent,60,39,married,yes_rec,fixed,130,250.0,0.0,0.0,1900,4063
91,no,13,parents,60,34,single,no_rec,fixed,35,96.0,0.0,0.0,750,775
92,no,1,owner,48,22,single,yes_rec,partime,35,125.0,3000.0,0.0,600,1087
93,no,0,rent,60,25,married,no_rec,partime,41,64.0,0.0,0.0,1450,1537
94,yes,17,owner,36,60,married,no_rec,fixed,60,78.0,2500.0,0.0,650,800
95,no,7,owner,48,32,married,yes_rec,fixed,45,140.0,5500.0,0.0,550,1250
96,yes,1,other,48,28,married,yes_rec,fixed,60,129.0,0.0,0.0,1300,1608
97,yes,2,parents,24,35,married,no_rec,fixed,45,175.0,0.0,0.0,1000,2393
98,yes,0,other,60,22,single,no_rec,partime,35,55.0,0.0,0.0,1350,1400
99,no,16,owner,60,51,married,no_rec,fixed,60,155.0,4000.0,0.0,900,925
100,no,20,owner,60,54,married,no_rec,fixed,35,100.0,5000.0,0.0,1600,2500
101,no,29,owner,60,44,married,no_rec,fixed,75,125.0,10000.0,0.0,1600,1800
102,yes,14,rent,60,38,married,no_rec,fixed,71,108.0,0.0,0.0,1400,1693
103,yes,5,rent,60,42,married,yes_rec,freelance,113,83.0,0.0,0.0,1530,1530
104,no,1,rent,48,64,married,no_rec,others,74,137.0,3500.0,0.0,600,927
105,no,30,other,48,52,married,no_rec,freelance,90,300.0,12000.0,0.0,1700,1734
106,no,10,owner,36,52,married,no_rec,freelance,35,225.0,25000.0,0.0,2000,2315
107,no,8,priv,60,32,married,no_rec,fixed,35,95.0,2500.0,480.0,950,1350
108,no,0,owner,12,49,widow,no_rec,freelance,60,0.0,21000.0,0.0,1800,2309
109,yes,1,owner,48,34,married,no_rec,others,60,45.0,2500.0,0.0,1000,1476
110,no,2,parents,60,22,single,no_rec,freelance,35,115.0,0.0,0.0,1250,1263
111,yes,2,owner,60,29,married,yes_rec,fixed,60,185.0,6300.0,2300.0,2000,2675
112,no,15,owner,48,34,separated,no_rec,freelance,45,0.0,5000.0,0.0,900,1197
113,no,2,parents,48,34,single,no_rec,fixed,45,157.0,4000.0,0.0,1450,1769
114,no,2,owner,48,51,married,no_rec,freelance,60,241.0,6500.0,51.0,900,1100
115,no,2,owner,18,43,married,no_rec,freelance,90,356.0,5000.0,800.0,700,1073
116,no,9,rent,36,55,married,no_rec,fixed,70,250.0,30000.0,0.0,1750,2276
117,no,13,owner,60,43,married,no_rec,fixed,45,123.0,3500.0,0.0,1600,1805
118,yes,10,owner,48,35,married,no_rec,fixed,45,63.0,5000.0,350.0,1000,1580
119,no,36,owner,60,51,married,no_rec,fixed,35,205.0,4000.0,0.0,950,1017
120,yes,1,rent,36,28,single,no_rec,freelance,52,170.0,0.0,0.0,350,1500
121,no,25,rent,42,61,married,no_rec,fixed,57,121.0,0.0,0.0,750,830
122,no,8,priv,36,39,married,no_rec,fixed,75,128.0,2500.0,0.0,550,550
123,yes,3,parents,36,19,single,yes_rec,fixed,35,47.0,0.0,0.0,500,700
124,no,11,owner,60,38,married,no_rec,freelance,35,122.0,3500.0,0.0,1000,1182
125,no,15,rent,24,42,married,yes_rec,fixed,41,64.0,0.0,0.0,200,400
126,no,25,rent,60,52,married,no_rec,fixed,73,127.0,0.0,0.0,1030,1250
127,yes,0,other,36,41,married,yes_rec,freelance,35,0.0,0.0,0.0,1000,1600
128,yes,0,parents,48,26,single,no_rec,fixed,35,120.0,0.0,0.0,1100,1100
129,no,21,owner,60,40,married,yes_rec,fixed,60,144.0,6500.0,0.0,2000,2230
130,yes,1,owner,60,40,married,yes_rec,fixed,60,155.0,2500.0,0.0,1650,1650
131,no,7,owner,60,33,single,no_rec,fixed,35,210.0,6000.0,0.0,1700,2414
132,no,4,rent,36,32,married,no_rec,fixed,55,100.0,0.0,0.0,300,500
133,no,2,rent,48,31,single,no_rec,fixed,43,75.0,0.0,0.0,800,900
134,yes,3,owner,36,28,married,no_rec,partime,35,100.0,3000.0,0.0,1000,1851
135,yes,0,rent,36,34,single,no_rec,partime,44,85.0,0.0,0.0,325,375
136,no,15,parents,60,34,married,no_rec,fixed,45,108.0,0.0,0.0,1000,1995
137,no,20,rent,48,59,married,no_rec,fixed,57,120.0,0.0,0.0,800,1298
138,no,2,rent,60,30,married,no_rec,fixed,92,170.0,0.0,0.0,1300,1525
139,no,5,owner,60,31,married,no_rec,fixed,75,90.0,4000.0,0.0,900,1500
140,no,6,owner,48,35,married,no_rec,freelance,60,0.0,3500.0,350.0,1300,1588
141,no,20,priv,60,59,married,no_rec,freelance,35,81.0,18000.0,0.0,1200,1349
142,yes,29,owner,60,52,married,no_rec,partime,45,175.0,2500.0,0.0,1186,1286
143,no,7,owner,18,40,married,yes_rec,fixed,75,169.0,4000.0,400.0,400,1717
144,no,0,parents,60,34,single,no_rec,others,45,158.0,2000.0,0.0,1020,1600
145,no,10,other,60,50,single,no_rec,fixed,35,147.0,0.0,0.0,1080,1152
146,no,10,other,60,36,married,no_rec,fixed,90,172.0,3000.0,0.0,1100,1100
147,no,15,owner,60,30,married,no_rec,fixed,60,140.0,4000.0,0.0,1500,1505
148,no,4,owner,48,49,single,yes_rec,fixed,35,183.0,8000.0,0.0,1200,1531
149,no,8,owner,12,39,married,no_rec,fixed,75,160.0,1500.0,0.0,360,865
150,no,19,owner,60,34,married,no_rec,fixed,75,125.0,5000.0,0.0,1200,1200
151,no,20,parents,36,45,married,no_rec,freelance,60,71.0,5000.0,0.0,1000,1390
152,no,8,rent,48,36,married,no_rec,fixed,76,159.0,0.0,0.0,830,939
153,no,11,parents,48,28,single,yes_rec,fixed,35,96.0,0.0,0.0,1100,1370
154,no,3,parents,60,26,single,no_rec,fixed,45,235.0,0.0,0.0,800,840
155,no,8,owner,36,31,married,yes_rec,freelance,75,411.0,9000.0,4000.0,800,1593
156,no,26,rent,36,61,married,no_rec,fixed,56,109.0,0.0,0.0,400,425
157,no,11,rent,60,58,married,no_rec,fixed,71,110.0,3000.0,0.0,1150,1363
158,no,4,owner,60,39,married,no_rec,freelance,45,0.0,7500.0,0.0,1300,1508
159,no,16,owner,60,31,married,no_rec,fixed,75,123.0,4000.0,0.0,700,1698
160,yes,6,owner,24,39,married,no_rec,fixed,75,58.0,2000.0,0.0,175,300
161,yes,0,ignore,36,45,married,no_rec,partime,75,87.0,1500.0,0.0,300,480
162,yes,4,priv,48,30,married,no_rec,fixed,105,72.0,2500.0,750.0,1200,1410
163,no,20,rent,24,40,married,no_rec,fixed,77,165.0,0.0,0.0,500,1532
164,no,5,rent,36,23,married,no_rec,fixed,68,81.0,0.0,0.0,400,400
165,yes,2,rent,60,42,married,no_rec,freelance,45,0.0,0.0,0.0,950,962
166,no,20,other,36,39,married,no_rec,fixed,60,102.0,0.0,0.0,650,1695
167,no,18,priv,60,42,married,no_rec,fixed,90,162.0,2500.0,400.0,1550,1615
168,no,2,parents,48,39,separated,no_rec,fixed,35,160.0,0.0,0.0,550,2340
169,no,5,rent,60,31,married,no_rec,fixed,86,109.0,0.0,0.0,830,1700
170,no,3,parents,60,27,single,no_rec,fixed,35,125.0,5000.0,0.0,770,1119
171,no,20,owner,60,47,married,no_rec,fixed,90,212.0,11000.0,0.0,1150,1669
172,no,5,parents,60,23,single,no_rec,fixed,35,120.0,0.0,0.0,1300,2100
173,no,20,rent,60,52,married,no_rec,freelance,70,250.0,4100.0,0.0,1200,1226
174,no,6,rent,36,24,married,no_rec,fixed,63,175.0,0.0,0.0,650,750
175,no,10,owner,6,39,married,no_rec,freelance,75,67.0,8000.0,0.0,430,500
176,no,8,owner,36,46,married,no_rec,fixed,35,160.0,6000.0,600.0,600,1100
177,yes,1,rent,36,24,married,no_rec,partime,76,164.0,0.0,0.0,900,950
178,yes,5,other,60,33,single,no_rec,fixed,35,57.0,0.0,0.0,1000,1415
179,no,18,owner,24,61,married,no_rec,freelance,45,119.0,8000.0,0.0,1100,1340
180,yes,3,owner,60,40,married,no_rec,freelance,75,246.0,2500.0,0.0,1300,1500
181,yes,0,parents,36,28,single,no_rec,partime,35,67.0,3500.0,0.0,1500,1539
182,no,6,owner,24,63,married,no_rec,fixed,60,155.0,4000.0,0.0,600,1048
183,no,3,owner,60,28,married,yes_rec,partime,60,122.0,5000.0,1000.0,800,1484
184,yes,1,other,60,33,single,no_rec,partime,35,96.0,0.0,0.0,700,1640
185,no,1,owner,60,30,married,no_rec,freelance,35,236.0,3500.0,1000.0,1000,1514
186,no,8,other,48,24,married,no_rec,fixed,45,56.0,0.0,0.0,770,1129
187,yes,13,rent,60,40,separated,no_rec,freelance,64,35.0,2500.0,0.0,1920,1920
188,no,2,owner,48,37,married,no_rec,fixed,75,135.0,18000.0,0.0,1000,1062
189,yes,1,rent,60,56,married,no_rec,partime,88,133.0,0.0,0.0,750,784
190,no,3,owner,36,42,married,no_rec,fixed,60,60.0,6000.0,0.0,1200,1500
191,no,3,parents,12,37,married,no_rec,freelance,60,150.0,500.0,0.0,500,1701
192,no,2,parents,24,23,single,no_rec,partime,35,93.0,2500.0,0.0,230,670
193,no,18,priv,60,48,widow,no_rec,freelance,45,200.0,8500.0,500.0,1300,1309
194,no,3,parents,18,24,single,no_rec,fixed,35,80.0,0.0,0.0,200,350
195,no,0,parents,36,26,married,no_rec,partime,60,142.0,0.0,0.0,1000,1426
196,no,3,owner,18,39,married,yes_rec,fixed,90,138.0,7000.0,0.0,500,700
197,no,10,owner,60,33,married,no_rec,freelance,45,150.0,13000.0,0.0,1500,2738
198,no,15,other,24,46,married,no_rec,fixed,75,150.0,18000.0,0.0,1400,1400
199,yes,0,owner,36,30,separated,no_rec,freelance,60,48.0,7000.0,0.0,300,365
200,no,15,owner,24,40,married,yes_rec,fixed,35,143.0,10000.0,0.0,3000,6468
201,no,0,rent,60,35,single,no_rec,fixed,60,250.0,0.0,0.0,1650,1673
202,no,0,parents,12,22,single,no_rec,others,35,42.0,0.0,0.0,200,748
203,yes,0,priv,6,22,single,yes_rec,partime,35,115.0,1000.0,0.0,250,800
204,no,3,priv,36,20,married,no_rec,fixed,45,50.0,1500.0,100.0,1000,1387
205,yes,13,parents,36,33,single,no_rec,fixed,35,109.0,0.0,0.0,350,350
206,no,2,other,36,35,separated,no_rec,fixed,35,200.0,0.0,0.0,1600,1671
207,no,6,rent,60,40,married,no_rec,fixed,54,92.0,0.0,0.0,1000,1155
208,yes,0,other,48,25,single,no_rec,fixed,35,139.0,0.0,0.0,1200,1202
209,yes,1,rent,60,41,married,no_rec,fixed,52,65.0,0.0,0.0,850,882
210,yes,1,parents,36,24,single,yes_rec,partime,35,50.0,0.0,0.0,1750,1850
211,no,0,parents,60,23,single,no_rec,partime,35,205.0,0.0,0.0,1100,1258
212,no,7,parents,36,24,single,no_rec,fixed,35,127.0,0.0,0.0,300,2612
213,no,3,owner,60,51,married,no_rec,fixed,35,123.0,25000.0,0.0,1800,2208
214,yes,0,owner,36,45,married,yes_rec,others,90,155.0,5000.0,0.0,300,1012
215,no,1,parents,48,23,single,no_rec,fixed,35,65.0,0.0,0.0,400,1195
216,no,2,owner,36,42,married,no_rec,fixed,75,220.0,3500.0,0.0,1500,2195
217,no,10,owner,60,38,married,no_rec,freelance,75,200.0,9000.0,0.0,1000,2089
218,no,3,parents,60,25,single,no_rec,fixed,35,174.0,0.0,0.0,1000,1252
219,yes,0,other,48,43,married,no_rec,fixed,75,0.0,0.0,0.0,1400,1590
220,no,12,owner,60,50,married,no_rec,fixed,45,99.0,5000.0,0.0,1100,1137
221,no,8,priv,36,33,married,no_rec,freelance,45,0.0,5100.0,0.0,600,1124
222,no,32,owner,24,62,married,no_rec,freelance,45,119.0,8500.0,0.0,700,1200
223,yes,1,parents,12,26,single,no_rec,partime,35,0.0,0.0,0.0,190,693
224,yes,0,other,60,42,married,yes_rec,fixed,165,0.0,0.0,0.0,1300,1750
225,no,14,rent,60,30,married,no_rec,fixed,55,95.0,0.0,0.0,850,1015
226,no,15,owner,60,32,divorced,no_rec,freelance,35,0.0,6000.0,3300.0,1550,1612
227,no,3,owner,12,24,single,yes_rec,fixed,35,105.0,6000.0,0.0,500,1138
228,yes,2,parents,60,35,married,no_rec,partime,45,85.0,0.0,0.0,1000,1542
229,yes,35,owner,48,52,married,no_rec,fixed,60,135.0,5000.0,0.0,1200,1400
230,yes,0,other,60,41,married,yes_rec,fixed,105,0.0,0.0,0.0,1000,2750
231,no,7,owner,60,47,married,no_rec,fixed,75,155.0,3000.0,200.0,675,975
232,no,1,owner,48,27,single,yes_rec,fixed,45,62.0,5000.0,0.0,1500,1788
233,no,1,parents,60,23,single,no_rec,fixed,35,53.0,80000.0,0.0,1150,1409
234,no,0,parents,36,27,single,no_rec,fixed,45,200.0,5000.0,0.0,800,1456
235,yes,3,rent,36,32,single,no_rec,freelance,35,0.0,0.0,0.0,950,1350
236,no,20,owner,60,54,married,no_rec,fixed,60,191.0,5000.0,0.0,600,1400
237,no,4,owner,60,28,married,no_rec,fixed,60,459.0,22000.0,9700.0,600,2150
238,yes,0,rent,30,30,married,no_rec,freelance,75,0.0,0.0,0.0,600,830
239,no,6,parents,36,26,married,no_rec,fixed,35,119.0,0.0,0.0,1000,2193
240,no,7,parents,48,31,single,yes_rec,fixed,35,72.0,5500.0,0.0,1000,1051
241,no,3,parents,48,25,single,no_rec,fixed,35,32.0,0.0,0.0,700,1114
242,no,22,owner,24,41,married,no_rec,fixed,90,125.0,4700.0,400.0,250,1035
243,no,11,owner,18,37,married,no_rec,fixed,45,115.0,20000.0,0.0,600,1200
244,no,0,owner,36,33,married,no_rec,fixed,45,265.0,2500.0,1100.0,1400,2189
245,no,14,owner,60,34,married,no_rec,fixed,45,130.0,4000.0,0.0,1100,1654
246,no,4,owner,60,37,married,no_rec,freelance,35,128.0,18000.0,0.0,800,1560
247,no,3,owner,60,35,married,no_rec,fixed,60,104.0,5000.0,0.0,1000,1317
248,no,4,priv,36,31,married,no_rec,fixed,60,144.0,3000.0,0.0,1000,1218
249,no,20,owner,36,42,married,no_rec,freelance,90,250.0,4500.0,0.0,1500,1750
250,no,0,owner,12,65,married,no_rec,others,60,115.0,3500.0,0.0,200,431
251,no,0,parents,24,36,married,no_rec,others,90,31.0,0.0,0.0,625,725
252,no,2,rent,60,53,widow,no_rec,fixed,46,114.0,0.0,0.0,1050,1348
253,no,2,rent,60,28,single,no_rec,fixed,47,115.0,0.0,0.0,1000,1015
254,no,2,rent,12,34,married,no_rec,freelance,69,240.0,0.0,0.0,500,700
255,no,9,owner,60,32,married,no_rec,fixed,45,103.0,4500.0,0.0,1100,1293
256,no,14,owner,60,37,married,no_rec,fixed,60,79.0,3500.0,0.0,700,1700
257,no,3,owner,60,30,married,no_rec,fixed,45,95.0,3700.0,1250.0,1300,1665
258,no,3,parents,18,21,single,yes_rec,fixed,35,75.0,0.0,0.0,500,1364
259,yes,0,priv,36,24,married,yes_rec,partime,60,169.0,1500.0,0.0,690,790
260,no,16,owner,60,31,married,no_rec,fixed,35,218.0,14000.0,2800.0,300,1373
261,yes,0,owner,60,37,married,no_rec,freelance,90,0.0,8000.0,4000.0,1550,1557
262,no,5,rent,60,28,married,no_rec,freelance,77,171.0,0.0,0.0,2500,3070
263,yes,2,parents,60,25,single,yes_rec,partime,35,65.0,0.0,0.0,1500,1892
264,yes,2,rent,48,31,married,no_rec,freelance,102,268.0,0.0,0.0,1400,1635
265,yes,0,parents,36,29,separated,no_rec,freelance,35,0.0,0.0,0.0,650,975
266,no,0,parents,48,21,single,no_rec,fixed,35,70.0,0.0,0.0,1250,1365
267,no,1,priv,36,34,married,no_rec,fixed,45,100.0,1800.0,1500.0,700,1296
268,no,14,rent,60,41,married,no_rec,fixed,53,181.0,0.0,0.0,1150,2497
269,no,1,parents,36,23,single,no_rec,fixed,35,95.0,0.0,0.0,1000,1639
270,no,0,parents,48,22,single,no_rec,freelance,45,0.0,0.0,0.0,4000,4500
271,no,3,rent,60,30,married,no_rec,fixed,77,169.0,0.0,0.0,1500,2037
272,no,2,parents,60,32,married,no_rec,partime,75,60.0,0.0,0.0,1100,1347
273,no,4,other,60,28,married,no_rec,fixed,60,143.0,0.0,0.0,1150,1630
274,yes,1,owner,60,55,married,yes_rec,others,45,136.0,30000.0,0.0,1400,1424
275,no,6,parents,60,31,married,no_rec,fixed,45,199.0,0.0,0.0,1200,1700
276,no,5,owner,60,32,married,no_rec,fixed,45,145.0,13000.0,0.0,1500,1850
277,no,13,owner,60,45,married,no_rec,fixed,90,135.0,4750.0,3500.0,1100,1369
278,yes,20,other,60,47,married,yes_rec,fixed,105,0.0,0.0,0.0,750,843
279,yes,2,priv,60,38,married,no_rec,partime,60,150.0,4000.0,0.0,1000,1270
280,yes,2,owner,60,27,married,yes_rec,fixed,60,115.0,4000.0,800.0,2250,2850
281,no,1,owner,48,42,married,no_rec,fixed,75,155.0,8000.0,0.0,600,1680
282,no,5,owner,60,31,single,no_rec,fixed,35,172.0,8000.0,0.0,850,1934
283,no,1,other,36,32,single,no_rec,freelance,35,0.0,0.0,0.0,1000,1172
284,yes,1,parents,48,25,single,no_rec,freelance,35,0.0,0.0,0.0,1800,1809
285,no,3,owner,60,36,married,no_rec,freelance,60,139.0,6000.0,0.0,1200,1343
286,no,18,rent,60,38,married,no_rec,fixed,56,108.0,0.0,0.0,1000,1307
287,yes,14,owner,60,38,married,yes_rec,fixed,60,145.0,5000.0,2400.0,1200,1383
288,no,4,owner,60,22,single,no_rec,others,35,130.0,4000.0,0.0,750,997
289,no,3,rent,48,32,married,no_rec,fixed,57,121.0,0.0,0.0,1200,1952
290,yes,0,rent,48,28,married,no_rec,partime,66,64.0,0.0,0.0,1100,1365
291,no,2,rent,60,29,married,yes_rec,fixed,69,91.0,0.0,0.0,1000,1268
292,yes,2,priv,48,44,married,no_rec,others,60,95.0,4300.0,0.0,1250,1250
293,no,12,owner,60,31,married,no_rec,fixed,35,183.0,10000.0,2200.0,1300,1349
294,yes,14,rent,60,63,married,no_rec,fixed,73,127.0,0.0,0.0,1400,1496
295,no,0,rent,36,25,single,no_rec,partime,44,93.0,0.0,0.0,800,1212
296,yes,1,priv,36,28,married,no_rec,freelance,45,0.0,6000.0,0.0,1000,1150
297,no,0,owner,24,18,single,no_rec,partime,35,104.0,12000.0,0.0,1700,1726
298,no,17,owner,60,47,married,no_rec,fixed,60,92.0,4500.0,0.0,1100,1194
299,yes,2,parents,30,25,married,no_rec,freelance,35,31.0,0.0,0.0,250,550
300,yes,1,owner,60,37,married,no_rec,freelance,60,200.0,9000.0,0.0,1400,1493
301,yes,0,other,60,31,married,no_rec,freelance,60,0.0,0.0,0.0,1400,1500
302,no,2,other,36,44,married,yes_rec,freelance,120,150.0,0.0,0.0,800,800
303,no,10,rent,48,53,married,no_rec,fixed,48,127.0,0.0,0.0,500,1000
304,yes,11,owner,36,37,married,yes_rec,freelance,60,205.0,13600.0,4500.0,450,625
305,no,0,owner,48,65,married,no_rec,others,45,175.0,5000.0,0.0,600,1176
306,no,4,parents,60,22,single,no_rec,fixed,35,80.0,0.0,0.0,1200,1425
307,no,0,owner,60,61,widow,no_rec,others,35,230.0,50000.0,0.0,950,1150
308,yes,6,rent,60,45,married,no_rec,fixed,59,139.0,0.0,0.0,1350,1612
309,no,6,rent,60,34,married,no_rec,fixed,86,110.0,0.0,0.0,800,2263
310,no,4,ignore,18,37,married,no_rec,fixed,45,200.0,3000.0,0.0,400,1800
311,no,3,rent,48,36,married,no_rec,fixed,85,104.0,5000.0,0.0,1700,1797
312,yes,5,owner,36,32,married,no_rec,freelance,75,125.0,6000.0,0.0,600,700
313,no,3,parents,60,36,married,no_rec,fixed,75,180.0,0.0,0.0,1200,1372
